Date_Readable,Year,Month,Date,Current Employment,Seasonally Adjusted (Y/N),Benchmark
September 2008,2008,September,09/1/2008,183100,N,2024
April 2009,2009,April,04/1/2009,164700,N,2024
August 2009,2009,August,08/1/2009,162300,N,2024
December 2009,2009,December,12/1/2009,163200,N,2024
February 2009,2009,February,02/1/2009,170000,N,2024
January 2009,2009,January,01/1/2009,171800,N,2024
July 2009,2009,July,07/1/2009,162400,N,2024
June 2009,2009,June,06/1/2009,163700,N,2024
March 2009,2009,March,03/1/2009,168500,N,2024
May 2009,2009,May,05/1/2009,163300,N,2024
November 2009,2009,November,11/1/2009,162800,N,2024
October 2009,2009,October,10/1/2009,162200,N,2024
September 2009,2009,September,09/1/2009,161500,N,2024
April 2010,2010,April,04/1/2010,172700,N,2024
August 2010,2010,August,08/1/2010,177000,N,2024
December 2010,2010,December,12/1/2010,179000,N,2024
February 2010,2010,February,02/1/2010,170100,N,2024
January 2010,2010,January,01/1/2010,168900,N,2024
July 2010,2010,July,07/1/2010,176300,N,2024
June 2010,2010,June,06/1/2010,175300,N,2024
March 2010,2010,March,03/1/2010,171000,N,2024
May 2010,2010,May,05/1/2010,173300,N,2024
November 2010,2010,November,11/1/2010,178100,N,2024
October 2010,2010,October,10/1/2010,177700,N,2024
September 2010,2010,September,09/1/2010,176000,N,2024
April 2011,2011,April,04/1/2011,180600,N,2024
August 2011,2011,August,08/1/2011,186200,N,2024
December 2011,2011,December,12/1/2011,186800,N,2024
February 2011,2011,February,02/1/2011,178500,N,2024
January 2011,2011,January,01/1/2011,177100,N,2024
July 2011,2011,July,07/1/2011,185400,N,2024
June 2011,2011,June,06/1/2011,182500,N,2024
March 2011,2011,March,03/1/2011,179700,N,2024
May 2011,2011,May,05/1/2011,180400,N,2024
November 2011,2011,November,11/1/2011,185900,N,2024
October 2011,2011,October,10/1/2011,186000,N,2024
September 2011,2011,September,09/1/2011,185700,N,2024
April 2012,2012,April,04/1/2012,193000,N,2024
August 2012,2012,August,08/1/2012,201600,N,2024
December 2012,2012,December,12/1/2012,206400,N,2024
February 2012,2012,February,02/1/2012,187900,N,2024
January 2012,2012,January,01/1/2012,185700,N,2024
July 2012,2012,July,07/1/2012,200400,N,2024
June 2012,2012,June,06/1/2012,197000,N,2024
March 2012,2012,March,03/1/2012,189800,N,2024
May 2012,2012,May,05/1/2012,193800,N,2024
November 2012,2012,November,11/1/2012,204100,N,2024
October 2012,2012,October,10/1/2012,202900,N,2024
September 2012,2012,September,09/1/2012,200900,N,2024
April 2013,2013,April,04/1/2013,208200,N,2024
August 2013,2013,August,08/1/2013,217600,N,2024
December 2013,2013,December,12/1/2013,221100,N,2024
February 2013,2013,February,02/1/2013,206600,N,2024
January 2013,2013,January,01/1/2013,204000,N,2024
July 2013,2013,July,07/1/2013,215500,N,2024
June 2013,2013,June,06/1/2013,211600,N,2024
March 2013,2013,March,03/1/2013,208100,N,2024
May 2013,2013,May,05/1/2013,208800,N,2024
November 2013,2013,November,11/1/2013,219200,N,2024
October 2013,2013,October,10/1/2013,216600,N,2024
September 2013,2013,September,09/1/2013,216000,N,2024
April 2014,2014,April,04/1/2014,223400,N,2024
August 2014,2014,August,08/1/2014,232700,N,2024
December 2014,2014,December,12/1/2014,238300,N,2024
February 2014,2014,February,02/1/2014,221400,N,2024
January 2014,2014,January,01/1/2014,219600,N,2024
July 2014,2014,July,07/1/2014,229900,N,2024
June 2014,2014,June,06/1/2014,227700,N,2024
March 2014,2014,March,03/1/2014,222500,N,2024
May 2014,2014,May,05/1/2014,224000,N,2024
November 2014,2014,November,11/1/2014,236600,N,2024
October 2014,2014,October,10/1/2014,235200,N,2024
September 2014,2014,September,09/1/2014,232200,N,2024
April 2015,2015,April,04/1/2015,242300,N,2024
August 2015,2015,August,08/1/2015,252300,N,2024
December 2015,2015,December,12/1/2015,255300,N,2024
February 2015,2015,February,02/1/2015,237600,N,2024
January 2015,2015,January,01/1/2015,236200,N,2024
July 2015,2015,July,07/1/2015,251000,N,2024
June 2015,2015,June,06/1/2015,246600,N,2024
March 2015,2015,March,03/1/2015,239100,N,2024
May 2015,2015,May,05/1/2015,243900,N,2024
November 2015,2015,November,11/1/2015,254700,N,2024
October 2015,2015,October,10/1/2015,253900,N,2024
September 2015,2015,September,09/1/2015,251400,N,2024
April 2016,2016,April,04/1/2016,259200,N,2024
August 2016,2016,August,08/1/2016,263800,N,2024
December 2016,2016,December,12/1/2016,262200,N,2024
February 2016,2016,February,02/1/2016,254800,N,2024
January 2016,2016,January,01/1/2016,252800,N,2024
July 2016,2016,July,07/1/2016,263500,N,2024
June 2016,2016,June,06/1/2016,260300,N,2024
March 2016,2016,March,03/1/2016,254400,N,2024
May 2016,2016,May,05/1/2016,258800,N,2024
November 2016,2016,November,11/1/2016,262400,N,2024
October 2016,2016,October,10/1/2016,262400,N,2024
September 2016,2016,September,09/1/2016,260400,N,2024
April 2017,2017,April,04/1/2017,265200,N,2024
August 2017,2017,August,08/1/2017,270000,N,2024
December 2017,2017,December,12/1/2017,268700,N,2024
February 2017,2017,February,02/1/2017,259800,N,2024
January 2017,2017,January,01/1/2017,257900,N,2024
July 2017,2017,July,07/1/2017,270100,N,2024
June 2017,2017,June,06/1/2017,267500,N,2024
March 2017,2017,March,03/1/2017,264000,N,2024
May 2017,2017,May,05/1/2017,264800,N,2024
November 2017,2017,November,11/1/2017,268500,N,2024
October 2017,2017,October,10/1/2017,268300,N,2024
September 2017,2017,September,09/1/2017,267300,N,2024
April 2018,2018,April,04/1/2018,267000,N,2024
August 2018,2018,August,08/1/2018,274500,N,2024
December 2018,2018,December,12/1/2018,275600,N,2024
February 2018,2018,February,02/1/2018,265500,N,2024
January 2018,2018,January,01/1/2018,263700,N,2024
July 2018,2018,July,07/1/2018,273900,N,2024
June 2018,2018,June,06/1/2018,271500,N,2024
March 2018,2018,March,03/1/2018,265000,N,2024
May 2018,2018,May,05/1/2018,268100,N,2024
November 2018,2018,November,11/1/2018,276000,N,2024
October 2018,2018,October,10/1/2018,274800,N,2024
September 2018,2018,September,09/1/2018,272500,N,2024
April 2019,2019,April,04/1/2019,276900,N,2024
August 2019,2019,August,08/1/2019,284100,N,2024
December 2019,2019,December,12/1/2019,285000,N,2024
February 2019,2019,February,02/1/2019,275800,N,2024
January 2019,2019,January,01/1/2019,274300,N,2024
July 2019,2019,July,07/1/2019,282800,N,2024
June 2019,2019,June,06/1/2019,281300,N,2024
March 2019,2019,March,03/1/2019,276200,N,2024
May 2019,2019,May,05/1/2019,278200,N,2024
November 2019,2019,November,11/1/2019,285600,N,2024
October 2019,2019,October,10/1/2019,283500,N,2024
September 2019,2019,September,09/1/2019,281800,N,2024
April 2020,2020,April,04/1/2020,270900,N,2024
August 2020,2020,August,08/1/2020,278100,N,2024
December 2020,2020,December,12/1/2020,279200,N,2024
February 2020,2020,February,02/1/2020,284300,N,2024
January 2020,2020,January,01/1/2020,282500,N,2024
July 2020,2020,July,07/1/2020,276600,N,2024
June 2020,2020,June,06/1/2020,275500,N,2024
March 2020,2020,March,03/1/2020,281500,N,2024
May 2020,2020,May,05/1/2020,273800,N,2024
November 2020,2020,November,11/1/2020,279000,N,2024
October 2020,2020,October,10/1/2020,277500,N,2024
September 2020,2020,September,09/1/2020,275200,N,2024
April 2021,2021,April,04/1/2021,280100,N,2024
August 2021,2021,August,08/1/2021,285200,N,2024
December 2021,2021,December,12/1/2021,290900,N,2024
February 2021,2021,February,02/1/2021,281100,N,2024
January 2021,2021,January,01/1/2021,278500,N,2024
July 2021,2021,July,07/1/2021,285000,N,2024
June 2021,2021,June,06/1/2021,280800,N,2024
March 2021,2021,March,03/1/2021,281300,N,2024
May 2021,2021,May,05/1/2021,280400,N,2024
November 2021,2021,November,11/1/2021,291500,N,2024
October 2021,2021,October,10/1/2021,290100,N,2024
September 2021,2021,September,09/1/2021,284500,N,2024
April 2022,2022,April,04/1/2022,291200,N,2024
August 2022,2022,August,08/1/2022,302100,N,2024
December 2022,2022,December,12/1/2022,300200,N,2024
February 2022,2022,February,02/1/2022,288000,N,2024
January 2022,2022,January,01/1/2022,285800,N,2024
July 2022,2022,July,07/1/2022,302100,N,2024
June 2022,2022,June,06/1/2022,295800,N,2024
March 2022,2022,March,03/1/2022,287800,N,2024
May 2022,2022,May,05/1/2022,291700,N,2024
November 2022,2022,November,11/1/2022,302300,N,2024
October 2022,2022,October,10/1/2022,301700,N,2024
September 2022,2022,September,09/1/2022,300200,N,2024
April 2023,2023,April,04/1/2023,291400,N,2024
August 2023,2023,August,08/1/2023,289600,N,2024
December 2023,2023,December,12/1/2023,284700,N,2024
February 2023,2023,February,02/1/2023,296500,N,2024
January 2023,2023,January,01/1/2023,297200,N,2024
July 2023,2023,July,07/1/2023,289600,N,2024
June 2023,2023,June,06/1/2023,290200,N,2024
March 2023,2023,March,03/1/2023,293300,N,2024
May 2023,2023,May,05/1/2023,290400,N,2024
November 2023,2023,November,11/1/2023,286400,N,2024
October 2023,2023,October,10/1/2023,287000,N,2024
September 2023,2023,September,09/1/2023,288400,N,2024
April 2024,2024,April,04/1/2024,284000,N,2024
August 2024,2024,August,08/1/2024,287700,N,2024
December 2024,2024,December,12/1/2024,285900,N,2024
February 2024,2024,February,02/1/2024,285900,N,2024
January 2024,2024,January,01/1/2024,286100,N,2024
July 2024,2024,July,07/1/2024,288500,N,2024
June 2024,2024,June,06/1/2024,286000,N,2024
March 2024,2024,March,03/1/2024,285300,N,2024
May 2024,2024,May,05/1/2024,284800,N,2024
November 2024,2024,November,11/1/2024,286600,N,2024
October 2024,2024,October,10/1/2024,286600,N,2024
September 2024,2024,September,09/1/2024,284600,N,2024
April 2025,2025,April,04/1/2025,279500,N,2024
February 2025,2025,February,02/1/2025,280200,N,2024
January 2025,2025,January,01/1/2025,280900,N,2024
March 2025,2025,March,03/1/2025,279300,N,2024
